iter	Passed	Remaining
0	135	134907
1	136	68051
2	137	45713
3	138	34529
4	141	28123
5	142	23588
6	143	20357
7	144	17948
8	145	16054
9	149	14786
10	150	13534
11	151	12487
12	152	11602
13	153	10845
14	156	10259
15	157	9680
16	158	9166
17	160	8782
18	162	8385
19	163	8015
20	164	7683
21	165	7376
22	167	7098
23	168	6842
24	171	6676
25	172	6459
26	173	6254
27	174	6064
28	175	5887
29	176	5721
30	178	5566
31	179	5419
32	180	5287
33	181	5163
34	182	5040
35	183	4925
36	185	4826
37	187	4758
38	189	4670
39	190	4579
40	191	4489
41	193	4405
42	194	4323
43	195	4246
44	196	4174
45	199	4136
46	200	4070
47	201	4002
48	203	3940
49	204	3879
50	205	3825
51	206	3767
52	207	3712
53	208	3658
54	209	3608
55	211	3559
56	212	3511
57	214	3481
58	215	3438
59	216	3394
60	217	3353
61	219	3314
62	220	3275
63	221	3239
64	224	3223
65	225	3187
66	226	3156
67	227	3122
68	229	3092
69	230	3060
70	231	3030
71	232	3000
72	233	2969
73	235	2941
74	236	2912
75	237	2885
76	238	2862
77	241	2851
78	242	2824
79	243	2796
80	244	2771
81	245	2746
82	245	2715
83	246	2692
84	248	2670
85	249	2647
86	250	2626
87	251	2605
88	252	2584
89	254	2568
90	257	2567
91	258	2547
92	259	2527
93	260	2508
94	261	2489
95	262	2471
96	263	2453
97	264	2436
98	266	2421
99	267	2405
100	268	2392
101	271	2390
102	272	2374
103	274	2364
104	275	2350
105	276	2335
106	278	2321
107	279	2306
108	280	2291
109	281	2279
110	282	2265
111	284	2252
112	286	2249
113	287	2236
114	290	2234
115	291	2221
116	292	2206
117	293	2194
118	294	2182
119	296	2171
120	297	2159
121	298	2145
122	299	2133
123	301	2132
124	303	2122
125	304	2110
126	305	2098
127	306	2088
128	307	2077
129	309	2070
130	310	2060
131	311	2049
132	312	2039
133	313	2028
134	315	2019
135	316	2010
136	317	2001
137	318	1991
138	320	1982
139	321	1973
140	322	1965
141	323	1952
142	324	1943
143	325	1935
144	326	1926
145	327	1918
146	329	1910
147	331	1909
148	333	1902
149	334	1894
150	335	1885
151	336	1878
152	337	1870
153	340	1870
154	341	1862
155	342	1854
156	343	1846
157	346	1845
158	347	1838
159	348	1831
160	349	1821
161	350	1813
162	352	1812
163	354	1804
164	355	1797
165	356	1790
166	357	1783
167	358	1776
168	359	1769
169	361	1764
170	362	1757
171	363	1750
172	364	1743
173	365	1737
174	367	1730
175	368	1723
176	369	1717
177	370	1712
178	372	1707
179	373	1701
180	375	1700
181	377	1696
182	378	1690
183	379	1684
184	380	1677
185	382	1672
186	383	1666
187	384	1660
188	385	1654
189	386	1648
190	387	1643
191	389	1637
192	391	1635
193	392	1629
194	393	1623
195	394	1618
196	395	1612
197	396	1607
198	397	1601
199	400	1602
200	401	1597
201	402	1591
202	405	1593
203	407	1589
204	409	1587
205	410	1583
206	412	1579
207	413	1575
208	415	1571
209	416	1567
210	423	1583
211	424	1578
212	426	1574
213	427	1569
214	428	1564
215	429	1559
216	430	1554
217	432	1550
218	433	1545
219	436	1545
220	437	1542
221	438	1538
222	440	1533
223	441	1528
224	442	1523
225	443	1519
226	444	1514
227	446	1513
228	448	1509
229	452	1513
230	453	1511
231	455	1506
232	456	1501
233	457	1496
234	458	1491
235	459	1486
236	460	1482
237	461	1479
238	463	1475
239	466	1475
240	468	1474
241	470	1473
242	471	1468
243	472	1464
244	474	1461
245	475	1456
246	476	1452
247	477	1447
248	478	1443
249	481	1443
250	482	1440
251	483	1436
252	485	1432
253	487	1431
254	489	1429
255	534	1554
256	536	1550
257	543	1562
258	550	1576
259	562	1602
260	564	1597
261	565	1593
262	567	1591
263	569	1587
264	570	1582
265	572	1578
266	577	1586
267	579	1581
268	580	1578
269	582	1574
270	583	1570
271	585	1566
272	586	1561
273	588	1558
274	591	1559
275	630	1653
276	631	1649
277	633	1645
278	635	1641
279	636	1637
280	639	1636
281	641	1633
282	642	1629
283	644	1624
284	645	1619
285	646	1615
286	648	1610
287	649	1606
